index,program_name,category
2585,Licenciado En Geofísica,General Sciences
2586,Computer Science: Artificial Intelligence Track,Software and Computer Engineering
2587,Industrial Product Design,Engineering 
2588,Electronic And Electrical Engineering,Engineering 
2589,Theoretical And Experimental Physics,General Sciences
2590,Dual Degree In Eecs And Meche,Software and Computer Engineering
2591,Analytics For Supply Chain,Marketing and Economics
2592,"Social Studies, Mathematics And English",History and Social Sciences
2593,School Of Business,Marketing and Economics
2594,Law With French Law,Law and International Relations
2595,Computer Science/pure Mathematics,Software and Computer Engineering
2596,Operations And Information Engineering And Pre,Information and Data Management
2597,"Mathematics, American Studies",Mathematics and Finance
2598,Neuro Inspired Deep Learning,Engineering 
2599,Media Designer For Digital And Print Media,Software and Computer Engineering
2600,"Bachelor's Degree, International Affairs, Steven J Green School Of International And Public Affairs",Law and International Relations
2601,National Security And Technology,Law and International Relations
2602,Theoretical Physics And Applied Mathematics,Mathematics and Finance
2603,Business Administration And Entrepreneurship,Marketing and Economics
2604,Orfe,Engineering 
2605,"Mba, Innovation In Healthcare, Entrepreneurship, Finance",International Business and Finance
2606,Math And Science Ib Baccaleuarate,Mathematics and Finance
2607,Agricultural Business And Management,Marketing and Economics
2608,"Mechatronics, Robotics, Automation Engineering",Engineering 
2609,"Mechanical Engineering, Entrepreneurship Option",Engineering 
2610,"Entrepreneurship, Strategic Management And Finance",International Business and Finance
2611,Applied Math And Computer Science,Software and Computer Engineering
2612,"Math, Physics",Mathematics and Finance
2613,"Bs Mathematics, Bs Computer Science",Software and Computer Engineering
2614,Molecular And Cellular Biology,Molecular and Biological Sciences
2615,Economics/computer Sciences,Mathematics and Finance
2616,"Biology, Biochemistry",Molecular and Biological Sciences
2617,"Biophysics, Biochemistry, Physiology",Molecular and Biological Sciences
2618,Computer Science Artificial Intelligence,Software and Computer Engineering
2619,Clinical Effectiveness,Psychology and Counseling
2620,Robotics And Electronics,Engineering 
2621,Energy Investments,Sustainable Energy Engineering
2622,Business Administration And Management With A Tech Minor,Software and Computer Engineering
2623,"Telecommunications, Psychology",Psychology and Counseling
2624,912 %,Marketing and Economics
2625,"Statistics, Economics",Mathematics and Finance
2626,Strategy And Finance,Mathematics and Finance
2627,Civil Engineering And Computer Science,Software and Computer Engineering
2628,"Economics Management, Psychology",Marketing and Economics
2629,"English, Math, Economics, Accounting",Mathematics and Finance
2630,"Music Business, Entrepreneurship",Marketing and Economics
2631,Environmental Biology And Economics,Marketing and Economics
2632,Software Entrepreneurship,Software and Computer Engineering
2633,Aerospace Engineering And Mechanical Engineering,Engineering 
2634,Post Graduate Fellowship,General Sciences
2635,Genomic Medicine And Statisitics,Molecular and Biological Sciences
2636,"English, Irish, Maths, French, Physics, Chemisty, Applied Math, Accounting",Mathematics and Finance
2637,"Computer Engineering, Economics",Software and Computer Engineering
2638,Optometry,Molecular and Biological Sciences
2639,Computer Engineering& Informatics,Software and Computer Engineering
2640,Electronics And Communications,Engineering 
2641,"Computer Science, Honors",Software and Computer Engineering
2642,"Biomathematics, Bioinformatics, And Computational Biology",Molecular and Biological Sciences
2643,"\development In The International Political Economy\""""",International Business and Finance
2644,International Relations · History And Development Concentration,Law and International Relations
2645,"Economics, Political Science",Marketing and Economics
2646,Physics And Mathematical Science,Mathematics and Finance
2647,Applied And Computational Mathematics,Mathematics and Finance
2648,Statistical Genomics,Molecular and Biological Sciences
2649,Business And Strategy,Marketing and Economics
2650,"Innovation Management, Design",Engineering 
2651,Integrated Marketing Communicaiton,Marketing and Economics
2652,Graphic And Web Design,Software and Computer Engineering
2653,Gerontology,General Sciences
2654,High,Engineering 
2655,"Biology And Economics, Minor Biotechnology",Marketing and Economics
2656,Human/medical Genetics,Molecular and Biological Sciences
2657,"Computer Science, Business,",Software and Computer Engineering
2658,Geographical Research,Cultural and Regional Studies
2659,Mgpa 90 / Top 10% Of The Class,Marketing and Economics
2660,Public Policy Studies,History and Social Sciences
2661,"Cinema, Multimedia, Animation",Software and Computer Engineering
2662,Mineração E Engenharia De Minas,Engineering 
2663,Humanities/humanistic Studies,Philosophy and Cognitive Studies
2664,Corporate Finance In A Global World: Challenges And Opportunities,International Business and Finance
2665,Marketing/marketing Management,Marketing and Economics
2666,Exchange,Marketing and Economics
2667,Architecture And Regional Planning,Cultural and Regional Studies
2668,Management Science And Entrepreneurship,Marketing and Economics
2669,Dual Degree,General Sciences
2670,Análise E Desenvolvimento De Sistemas,Software and Computer Engineering
2671,System Design And Management,Information and Data Management
2672,Computer Science And Math,Software and Computer Engineering
2673,"Abstract Algebra, Theoretical Mathematics",Mathematics and Finance
2674,Probability Theory And Stochastic Processes,Mathematics and Finance
2675,"Computer Science And Cognitive Science, Mathematics",Software and Computer Engineering
2676,Automotive Engineering Technology/technician,Engineering 
2677,Computer Science And Machine Learning/robotics,Software and Computer Engineering
2678,"Finance, Organization And Strategy",Mathematics and Finance
2679,Launching Technology Ventures,Marketing and Economics
2680,Professional Scrum Master I,Software and Computer Engineering
2681,"Computers And Information Technology, Data Mining And Machine Learning Algorithms",Software and Computer Engineering
2682,Bioastronautics,Molecular and Biological Sciences
2683,Language,Engineering 
2684,Finance And Entrepreneurship And Innovation,Banking and Finance Specialization
2685,Engineering Electrical Engineering,Engineering 
2686,Economics Finance And Marketing,Marketing and Economics
2687,Biodesign Program,Molecular and Biological Sciences
2688,Biodesign Innovation,Molecular and Biological Sciences
2689,Enterprenuship,Marketing and Economics
2690,Natural Sciences And Computational Sciences,General Sciences
2691,Chartered Financial Analyst,Mathematics and Finance
2692,"Economics, Applications Of Computer Science",Marketing and Economics
2693,Entrepreneur,Marketing and Economics
2694,Digital Design,Engineering 
2695,Summer School,Engineering 
2696,Systems Immunology,Molecular and Biological Sciences
2697,Immunology Of Infectious Disease,Molecular and Biological Sciences
2698,"Electrical Engineering And Computer Science, Economics",Software and Computer Engineering
2699,Industrial And System Engineering,Engineering 
2700,Policy Analysis And Management,Information and Data Management
2701,"Strategic And Operations, Information Management",Information and Data Management
2702,Academic,General Sciences
2703,Information Systems In Economics,Information and Data Management
2704,Telecommunication,Engineering 
2705,Ecology,General Sciences
2706,Computer Science And Signal Processing,Software and Computer Engineering
2707,Several And Hi,Philosophy and Cognitive Studies
2708,Business Entrepreneurship,International Business and Finance
2709,Social And Urban Policy,History and Social Sciences
2710,Venture Law,Engineering 
2711,"Applied Mathematics, Secondary Field In Computer Science",Software and Computer Engineering
2712,Molecular And Microbiology,Molecular and Biological Sciences
2713,Startup Mentorship,Banking and Finance Specialization
2714,Strategic Studies And Defense Analysis,Law and International Relations
2715,"Marketing, Data Mining, Finance, Photography, Spanish",Marketing and Economics
2716,"Statistics, Computer Science, Mathematics",Software and Computer Engineering
2717,Artificial Intelligence And Innovation,Engineering 
2718,"Accounting, International Business",International Business and Finance
2719,"Economics And Political Science, Minor Computer Science",Mathematics and Finance
2720,Politics And History,History and Social Sciences
2721,"Ba Journalism, Graduated Summer 2012",Psychology and Counseling
2722,Sustainability Management,Sustainable Energy Engineering
2723,"Economics, Philosophy",Marketing and Economics
2724,Management And Innovation,Marketing and Economics
2725,"Maths, Further Maths, Biology, French",Mathematics and Finance
2726,Electrical Installation,Engineering 
2727,Computational Science,Software and Computer Engineering
2728,"Information Sciences And Technology, Economics",Marketing and Economics
2729,Aeronautics Engineering,Engineering 
2730,Physics And Electronics,Engineering 
2731,"Maths, Economics, Computing, Physics",Mathematics and Finance
2732,"Energy Technology, Industrial Engineering And Management",Sustainable Energy Engineering
2733,"Information Technology, Industrial Management",Information and Data Management
2734,Engineering:computing,Engineering 
2735,Mobile Application Development,Software and Computer Engineering
2736,College Prep Classes,Mathematics and Finance
2737,Tavus,History and Social Sciences
2738,"Systems Engineering And Design, Minor In Computer Science",Software and Computer Engineering
2739,"Pharmacy, Pharmaceutical Sciences, And Administration",Molecular and Biological Sciences
2740,Business School,Marketing and Economics
2741,"Integrative Biology, Chemistry",Molecular and Biological Sciences
2742,Plant Biology,Molecular and Biological Sciences
2743,Biomedical And Electrical Engineering,Engineering 
2744,Biosystems Science And Engineering,Molecular and Biological Sciences
2745,"Public Policy, Cybersecurity",Software and Computer Engineering
2746,Computer Security,Software and Computer Engineering
2747,Econ And Finance,Mathematics and Finance
2748,Production And Industrial,Engineering 
2749,Security Informatics,Information and Data Management
2750,"Electrical Engineering, Software Systems",Software and Computer Engineering
2751,"Business Economics, Mathematics",Mathematics and Finance
2752,"Entrepreneurship, Technology",Marketing and Economics
2753,Y Combinator,Engineering 
2754,"Entrepreneurship, Finance, Marketing, Strategy, Economics",Marketing and Economics
2755,Computer Science ~ Artificial Intelligence And Cybersecurity,Software and Computer Engineering
2756,Computer Science ~ Artificial Intelligence,Software and Computer Engineering
2757,Genetics And Economics,Marketing and Economics
2758,Video Games,Software and Computer Engineering
2759,Sports Management,Information and Data Management
2760,Experimental Astrophysics,General Sciences
2761,Physics With Theoretical Astrophysics,General Sciences
2762,Physics With Diploma In Industry,Engineering 
2763,Particle Physics,General Sciences
2764,Mathematical Methods In The Social Sciences,History and Social Sciences
2765,Digital Entrepreneurship,Marketing and Economics
2766,Sme Management,Marketing and Economics
2767,Stanford Institute For Innovation In Developing Economies,International Business and Finance
2768,Human Evolutionary Biology,Molecular and Biological Sciences
2769,Business And Statistics,Marketing and Economics
2770,Lean Startup,Sustainable Energy Engineering
2771,Computer And Information Systems Security,Software and Computer Engineering
2772,Technological And Social Innovation,Marketing and Economics
2773,Master In International Business,International Business and Finance
2774,International Relations And History,Law and International Relations
2775,Genie Des Informatiques,Information and Data Management
2776,"Science, Social Sciences",History and Social Sciences
2777,Batch #1,Software and Computer Engineering
2778,Cellular And Developmental Biology,Molecular and Biological Sciences
2779,Economics And East Asian Studies,Cultural and Regional Studies
2780,Score Of 30/30,Psychology and Counseling
2781,"Psychology, Italian, History",Psychology and Counseling
2782,Startup Leadership,Marketing and Economics
2783,"Maths, French, English, Irish, Physics",Mathematics and Finance
2784,"Databases, Git, Sql, Css, Javascript",Software and Computer Engineering
2785,"Understanding The Stack: Apis, Programming Fundamentals, And Developer Tools",Software and Computer Engineering
2786,Computational Geophysics,General Sciences
2787,"Real Estate, Finance",Mathematics and Finance
2788,Economics And Geography,Marketing and Economics
2789,"Business Administration, Entrepreneurship And Technology",Marketing and Economics
2790,"Information Systems, Marketing, Studio Art",Marketing and Economics
2791,Biochemistry And Physics,Molecular and Biological Sciences
2792,"Entrepreneurship Concentration, Computer Information Technology",Software and Computer Engineering
2793,Computer Science And Engineering And In Mathematics,Software and Computer Engineering
2794,"Biochemistry, Systems Biology",Molecular and Biological Sciences
2795,Chemical And Physical Biology,Molecular and Biological Sciences
2796,"Computer Vision, Deep Learning",Software and Computer Engineering
2797,Computer Engineering And Cognitive Science,Software and Computer Engineering
2798,"Computer Programming, Specific Applications",Software and Computer Engineering
2799,Finance Law,Mathematics and Finance
2800,Business Administration And Philosophy,Philosophy and Cognitive Studies
2801,Physics With Astrophysics,General Sciences
2802,Turing Scholars Honors Computer Science,Software and Computer Engineering
2803,Software Systems Engineering,Software and Computer Engineering
2804,Operations Research And Industrial Engineering,Engineering 
2805,"Finance, Commercial Law",Mathematics and Finance
2806,Engineering Chemistry / Economics,Engineering 
2807,"Information Systems, Computer Science",Software and Computer Engineering
2808,Dropout,Information and Data Management
2809,International Relations And Economics,Law and International Relations
2810,"Business, Management, Marketing",Marketing and Economics
2811,Medical Clinical Sciences/graduate Medical Studies,General Sciences
2812,"Engineering Psychology, English",Engineering 
2813,Urban Design And Architecture,Cultural and Regional Studies
2814,Business Schools,Marketing and Economics
2815,Management In New Media And Innovation,Marketing and Economics
2816,Business Strategy And Administration,Marketing and Economics
2817,Management In Digital Business,Information and Data Management
2818,Engineering Computer Science,Software and Computer Engineering
2819,"Physics, Chemistry And Mathematics",Mathematics and Finance
2820,Design And Fabrication Of Energy Devices,Sustainable Energy Engineering
2821,Bachelor Of Computer Applications,Software and Computer Engineering
2822,"Machine Learning, Ai / Data Science",Software and Computer Engineering
2823,"Engineering Physics, Entrepreneurship",Engineering 
2824,"Electrical Engineering, Applied Mathematics, Economics",Engineering 
2825,Plant Biotechnology,Molecular and Biological Sciences
2826,Intellectual Property Law,Law and International Relations
2827,Business Administration / Management,Software and Computer Engineering
2828,Sciences,General Sciences
2829,Mathematics / Cs,Mathematics and Finance
2830,Global Competitive Strategy,International Business and Finance
2831,Sloan Fellow,General Sciences
2832,Pain Medicine,Molecular and Biological Sciences
2833,Rehabilitation Medicine,Psychology and Counseling
2834,"Microelectronics, Photonics, Microwaves",Engineering 
2835,Business/environmental Sciences,General Sciences
2836,Wide Range Of Things,Engineering 
2837,Business And Human Resource Management,Marketing and Economics
2838,Ma Business Management,Information and Data Management
2839,"Mechanical Engineering, Physics, History And Philosophy Of Science",Engineering 
2840,International Business And Management,International Business and Finance
2841,Applied Mathematics And Government,Mathematics and Finance
2842,Gestion D'entreprise,Marketing and Economics
2843,Gestion,General Sciences
2844,Politique Générale Et Stratégie Des Organisations,Law and International Relations
2845,Master 2 Affaires Internationales Et Developpement,Law and International Relations
2846,Gestion Des Entreprises Et Des Administrations,International Business and Finance
2847,Philosphy,Philosophy and Cognitive Studies
2848,Metallurgical Engineering,Engineering 
2849,Marketing Research,Marketing and Economics
2850,Computer Science / Social Networks,Software and Computer Engineering
2851,Natural Sciences: Physics,General Sciences
2852,Health Decision Sciences,General Sciences
2853,Administración De Empresas,Marketing and Economics
2854,Holistic Health And Nutrition,Philosophy and Cognitive Studies
2855,Holistic Health,Psychology and Counseling
2856,Food Chemistry,Molecular and Biological Sciences
2857,"Mathematics, Physics, English",Mathematics and Finance
2858,Solve Humanity's Grand Challenges,History and Social Sciences
2859,Business Development,International Business and Finance
2860,Master Of Engineering,Engineering 
2861,Bachelors Of Technology,Software and Computer Engineering
2862,Mit Global Innovation And Entrepreneurship Bootcamp,International Business and Finance
2863,Double Major: Mathematics And Computer Science,Software and Computer Engineering
2864,Computer Science And Healthcare,Software and Computer Engineering
2865,"Mathematics, Computer Vision, Machine Learning",Mathematics and Finance
2866,Bsee,Software and Computer Engineering
2867,Masters,Engineering 
2868,Public Health,General Sciences
2869,Physiology And Biophysics,Molecular and Biological Sciences
2870,Classics And Philosophy,Philosophy and Cognitive Studies
2871,Near And Middle Eastern Studies,Cultural and Regional Studies
2872,"Finance, Computer Science",Mathematics and Finance
2873,Computer Systems And Electrical Engineering,Software and Computer Engineering
2874,"Business Administration, Computer Science Minor",Software and Computer Engineering
2875,Chemical Engineering Practice,Engineering 
2876,"Chemical Engineering, Finance",Engineering 
2877,"Chemical Engineering, Chemistry, Materials Science",Engineering 
2878,Studied Computer Science,Software and Computer Engineering
2879,"Finance, Mathematics, Software Engineering",Mathematics and Finance
2880,Computer Engineering In Communication,Software and Computer Engineering
2881,"Information Technology, Management Information Systems",Information and Data Management
2882,Industrial And Management Engineering,Engineering 
2883,Technology And Education,Engineering 
2884,Political Science And Law,Law and International Relations
2885,Criminal Justice And Corrections,Banking and Finance Specialization
2886,Life,Engineering 
2887,Scienze Informatiche,Information and Data Management
2888,Film/video And Photographic Arts,Cultural and Regional Studies
2889,"Finance, Marketing And Strategy",Marketing and Economics
2890,"Math, Physics, Technology",Mathematics and Finance
2891,"Bachelor's Degree, Computer Science And Physics",Software and Computer Engineering
2892,Computer Science And Business Management,Software and Computer Engineering
2893,"Electrical Engineering, Artificial Intelligence, Business Management",Engineering 
2894,Adult Psychiatry,Psychology and Counseling
2895,"Computer Science, Economics, Business",Software and Computer Engineering
2896,Business And Interdisciplinary Studies,Marketing and Economics
2897,Instrumentation And Control Engineering,Engineering 
2898,"Business, Concentrations: Statistics, Finance",Mathematics and Finance
2899,Computer Science And Electronics Engineering,Software and Computer Engineering
2900,Plan Ii,Information and Data Management
2901,Computer Science And Econ,Software and Computer Engineering
2902,"Biochemistry, Biophysics And Molecular Biology",Molecular and Biological Sciences
2903,Infectious Disease,Molecular and Biological Sciences
2904,"Biochemistry Biochemistry, Biophysics And Molecular Biology",Molecular and Biological Sciences
2905,Furniture Design Studio,Engineering 
2906,"Marketing And Operations, Palmer Scholar",Marketing and Economics
2907,Sales Honors Program,Software and Computer Engineering
2908,"Mechanical Engineering, Computer Science",Software and Computer Engineering
2909,Biochemistry/molecular And Cell Biology And Public Health,Molecular and Biological Sciences
2910,Iasa,International Business and Finance
2911,Department Of Mathematical Methods In System Analysis,Software and Computer Engineering
2912,Pure Science,General Sciences
2913,"Biochemistry, Biotechnology And Molecular Medicine",Molecular and Biological Sciences
2914,"Computer Science, Minor Math, Minor Business Administration",Software and Computer Engineering
2915,"Bs Arts, Technology And The Business Of Innovation",Marketing and Economics
2916,Mathematics And Scientific Computing,Mathematics and Finance
2917,Computer Science And Data Processing,Software and Computer Engineering
2918,Biology And Psychology,Psychology and Counseling
2919,"Political Science, Entrepreneurship",Marketing and Economics
2920,Urban Education,Engineering 
2921,"Mechanical Engineering, Materials Science",Engineering 
2922,Secondary School Education,Engineering 
2923,"Mechanical Engineering, Biomedical Engineering",Engineering 
2924,Frontend Developer,Software and Computer Engineering
2925,"Electrical Engineering And Computer Science, Mathematics",Software and Computer Engineering
2926,Strategy And Innovation / Execution,Marketing and Economics
2927,Sustainable Business And Leadership,Sustainable Energy Engineering
2928,Digital Media And Design,Engineering 
2929,Chemical Engineering And Economics,Engineering 
2930,Information Systems And Tools For New Media,Information and Data Management
2931,Data Science / Ict For Development,Information and Data Management
2932,Information Management Systems And Technologies,Information and Data Management
2933,Psychiatry,Psychology and Counseling
2934,Finance And Information Technology,Mathematics and Finance
2935,Core Business Program,Software and Computer Engineering
2936,Literary Arts,Cultural and Regional Studies
2937,"Philosophy, Psychology",Philosophy and Cognitive Studies
2938,Data Science And Economics,Mathematics and Finance
2939,"Mechanical Engineering, Electrical Engineering And Computer Science",Engineering 
2940,Penetration Testing,Software and Computer Engineering
2941,Computer Technology,Software and Computer Engineering
2942,"Operating Systems, Databases, Networks",Software and Computer Engineering
2943,Dermatology,Molecular and Biological Sciences
2944,Aviation,Engineering 
2945,Language And Information Technologies,Information and Data Management
2946,Business Economics Minors In Math And Computer Science,Mathematics and Finance
2947,"Computer Science, Biological Modelling And Visualization",Molecular and Biological Sciences
2948,Information And Applied Mathematics,Mathematics and Finance
2949,Ciencias De La Computación,Software and Computer Engineering
2950,Civil Engineering And Physics,Engineering 
2951,Bioinformatics And Biostatistics,Molecular and Biological Sciences
2952,Bioinformatics And Genome Research,Molecular and Biological Sciences
2953,"Applied Mathematics, Computing, Physics, Chemistry",Mathematics and Finance
2954,"Management Science And Engineering, Computer Science",Software and Computer Engineering
2955,"Mathematics, Computing, Physics, Chemistry",Mathematics and Finance
2956,Metalurgical Engineering And Materials Science,Engineering 
2957,Finance And Stragegy,Mathematics and Finance
2958,"Plan Ii Honors, Finance",Mathematics and Finance
2959,"Web Development, Immersive",Software and Computer Engineering
2960,Internship,Engineering 
2961,"Computer Science, Computer Vision",Software and Computer Engineering
2962,Electrical Engineering / Computer Systems Engineering,Software and Computer Engineering
2963,Medical Administration,General Sciences
2964,Cardiovascular Diseases,General Sciences
2965,Architecture And Urbanism,Cultural and Regional Studies
2966,Philosophy/african American Studies,Philosophy and Cognitive Studies
2967,Urban Planning,Engineering 
2968,Eletrical Engineering,Engineering 
2969,Urban And Regional Planning,Cultural and Regional Studies
2970,Regional Development Planning And Management,Cultural and Regional Studies
2971,Computer Applications,Software and Computer Engineering
2972,"Cognitive Science, Psychology",Philosophy and Cognitive Studies
2973,"Entrepreneurship, Venture Capital",International Business and Finance
2974,Computer Sciennce,Software and Computer Engineering
2975,Applied Mathematics And Data Science,Mathematics and Finance
2976,"Finance, Organization And Management",Mathematics and Finance
2977,Lifesciences,General Sciences
2978,Politics And Sociology,History and Social Sciences
2979,Mathematical Finance,Mathematics and Finance
2980,Media Production And Management,Marketing and Economics
2981,Fabrication Of Microfluidic Devices,Molecular and Biological Sciences
2982,Network Technology And Computer Science,Software and Computer Engineering
2983,Managing Teams For Innovation And Success,Marketing and Economics
2984,Biological Chemistry And Molecular Pharmacology,Molecular and Biological Sciences
2985,"Audio Engineering Technology, Mathematics",Mathematics and Finance
2986,W11 Humble Bundle,Software and Computer Engineering
2987,Iss System Analysis,Software and Computer Engineering
2988,"Economics, English",Marketing and Economics
2989,"International Relations, Entrepreneurship",International Business and Finance
2990,Broadcast Journalism And Political Science,History and Social Sciences
2991,Physics And Electrical Engineering,Engineering 
2992,Electrical Engineer And Computer Science,Software and Computer Engineering
2993,Spanish Language And Art,Cultural and Regional Studies
2994,"Applied Math And Economics, Double Minor In Behavioral And Cognitive Psychology",Mathematics and Finance
2995,(1) Corporate Finance And Valuations,Mathematics and Finance
2996,(1) Effective Board Governance (2) People Analytics And Building A Talent Advantage,Marketing and Economics
2997,Full Stack Software Engineering,Software and Computer Engineering
2998,Nimh,Engineering 
2999,"Econometrics, Chinese Language",Marketing and Economics
3000,Web Development And Computer Science,Software and Computer Engineering
3001,Networking,Engineering 
3002,Health/health Care Administration/management,Information and Data Management
3003,Computers,Software and Computer Engineering
3004,All,Engineering 
3005,Systems,Engineering 
3006,Clinical Laboratory Science/medical Technology/technologist,Molecular and Biological Sciences
3007,Company Secretary,Engineering 
3008,"Internal Medicine, Gi",General Sciences
3009,Mba In Finance,Mathematics and Finance
3010,Healthcare Management,Information and Data Management
3011,Computational Mathematics And Engineering,Engineering 
3012,"Electrical And Computer Engineering, Business Administration",Software and Computer Engineering
3013,Business Of Bioscience In Bioprocessing,Molecular and Biological Sciences
3014,Biopysics,Molecular and Biological Sciences
3015,Senior Year,General Sciences
3016,Pcsi,Software and Computer Engineering
3017,Contraforce,General Sciences
3018,"Public Relations, Advertising, Applied Communication",Marketing and Economics
3019,Social Sciences,History and Social Sciences
3020,Douple Major: Mathematics / Philosophy,Philosophy and Cognitive Studies
3021,Scientific,General Sciences
3022,"Computer, Software Engineering",Software and Computer Engineering
3023,French And Russian,Cultural and Regional Studies
3024,Business Administration And Economics,Marketing and Economics
3025,International Economics And East Asian Studies,International Business and Finance
3026,"Business, Economics And Chinese",Marketing and Economics
3027,Strategic Entrepreneurship,Marketing and Economics
3028,Criminology,History and Social Sciences
3029,Pathology And Toxicology,Molecular and Biological Sciences
3030,Pathology,Molecular and Biological Sciences
3031,Political Science And Economics,Marketing and Economics
3032,Betriebwirtschaftslehre,Marketing and Economics
3033,"Finance, Financial Controlling, Strategy, Personal Development",Banking and Finance Specialization
3034,"Finance, Computer Information Systems",Mathematics and Finance
3035,"Computer Science, Web, Communication",Software and Computer Engineering
3036,Electrical And Electronic Eng,Engineering 
3037,"Finance, Economics",Mathematics and Finance
3038,Corporate Law And Economics,Marketing and Economics
3039,"Law, Economics, International Trade And Economics",Law and International Relations
3040,"Securities And Futures Authority, Uk Financial Derivatives And Futures",Mathematics and Finance
3041,Reaction Engineering/applied Math,Engineering 
3042,"Molecular Biology, Applied Mathematics",Molecular and Biological Sciences
3043,Food Supply Chain Management,Marketing and Economics
3044,Supply Chain Management And E,Marketing and Economics
3045,"History, Economics, Statistics",History and Social Sciences
3046,Emarketing,Marketing and Economics
3047,"Computer Science, Computer Engineering",Software and Computer Engineering
3048,Bio/math,Molecular and Biological Sciences
3049,Mathematical Decision Sciences,Mathematics and Finance
3050,Bioinformatics And Integrative Genomics,Molecular and Biological Sciences
3051,"Economics, Chinese",Marketing and Economics
3052,Mediadesign Digital/print,Software and Computer Engineering
3053,Angewandte Informatik,Information and Data Management
3054,Economics And Ba Global Studies,International Business and Finance
3055,Vaccinology,Molecular and Biological Sciences
3056,Startup Vanhawks,Engineering 
3057,Health/medicine,Engineering 
3058,Math/biology,Molecular and Biological Sciences
3059,Space Studies Program,General Sciences
3060,Master's Of Management Science,Software and Computer Engineering
3061,Technology And International Affairs,Law and International Relations
3062,"Finance, Operations Research, And Entrepreneurship And Innovation",Mathematics and Finance
3063,Managment,Psychology and Counseling
3064,Biomedical Engineering With Machine Learning,Engineering 
3065,Bioinformatics And Computational Biology,Molecular and Biological Sciences
3066,Business Analytics And Management Science,Information and Data Management
3067,Robotics And Micro,Engineering 
3068,Undergraduate,Engineering 
3069,"Isc, Computer Science, 97%",Software and Computer Engineering
3070,Summer 2020,Engineering 
3071,Computer Science Major,Software and Computer Engineering
3072,"Computer Science, Finance, Neuroscience",Mathematics and Finance
3073,Strategy/operations,Information and Data Management
3074,Masters In Business Administration Focused In Design Strategy,Software and Computer Engineering
3075,"Chemical And Biological Engineering, Biotechnology",Molecular and Biological Sciences
3076,Neuroscience/economics,Marketing and Economics
3077,Autonomous Space Robotics,Engineering 
3078,"Innovation, Design Thinking And Entrepreneurship",Marketing and Economics
3079,"Bioengineering / Bse Wharton, Jerome Fisher Program In Management And Technology",Engineering 
3080,Exchange Student,International Business and Finance
3081,Clinical Trial Design And Performance,Psychology and Counseling
3082,Vitreoretinal Diseases And Surgery,Law and International Relations
3083,Philosophy And Biological Sciences,Molecular and Biological Sciences
3084,Management Of Information Technology,Information and Data Management
3085,Bachelor Communication Technologies,Software and Computer Engineering
3086,Japanese Managemnet,Information and Data Management
3087,Foundations Of Business,International Business and Finance
3088,Electrical Engineering And Software,Software and Computer Engineering
3089,Architectural Technology,Engineering 
3090,Batch W21,Psychology and Counseling
3091,Remote Sensing Science And Technology,Software and Computer Engineering
3092,"Computer Science, Minor In Cognitive Science",Software and Computer Engineering
3093,Management Improvement Programs,Information and Data Management
3094,"Economics, Mathematics, Business Administration",Mathematics and Finance
3095,International Baccalaureate Program,International Business and Finance
3096,Mechanical Engineering W Focus On Intelligent Machines,Engineering 
3097,Mechanical,Engineering 
3098,Computer Sceince,Software and Computer Engineering
3099,Culinary Arts,Cultural and Regional Studies
3100,Interdisciplinary Computing And The Arts,Software and Computer Engineering
3101,Ingeniería De Sistemas Y Computación,Software and Computer Engineering
3102,"Mathematics, Geopolitics And Philosophy",Mathematics and Finance
3103,It&e,Marketing and Economics
3104,Computer Science And Film Studies,Software and Computer Engineering
3105,Crohnology,History and Social Sciences
3106,"Electrical Engineering, Computer Enginering",Engineering 
3107,"Finance, Engineering, Computer Science, Entrepreneurialism",Mathematics and Finance
3108,S17 Class,Engineering 
3109,Classical Studies,Cultural and Regional Studies
3110,Clinical Medicine,General Sciences
3111,Center For Entrepreneurship And Technology,Marketing and Economics
3112,Master Of Entrepreneurship,Marketing and Economics
3113,"Political Science, History",History and Social Sciences
3114,"Civil Law, Business Law",Law and International Relations
3115,Msc In Management,Software and Computer Engineering
3116,"Le Bridge, Entrepreneurship Of Technology And Innovation Program",Engineering 
3117,"Applied Mathematics And Statistics, Theoretical Mathematics",Mathematics and Finance
3118,Electronics And Information Technology,Software and Computer Engineering
3119,Industrial Economics And Technology Management,Marketing and Economics
3120,Start Up,Marketing and Economics
3121,Ciências Da Computação,Software and Computer Engineering
3122,"User Interface Engineering, Communications, Marketing, Design",Engineering 
3123,Systems And Computer Science,Software and Computer Engineering
3124,"Food Science And Technology, Biotechnology",Molecular and Biological Sciences
3125,International Trade And Finance,International Business and Finance
3126,Bsc Electrical And Electronics Engr,Engineering 
3127,Internship Astrophysics,General Sciences
3128,Engineering Computer Science Engineering,Software and Computer Engineering
3129,Media Informatics,Information and Data Management
3130,Operations Engineering,Engineering 
3131,Doktoratsstudium Der Technischen Wissenschaften,History and Social Sciences
3132,"Maschinenbau, Automatisierungstechnik",Software and Computer Engineering
3133,Psychology And Neuroscience,Psychology and Counseling
3134,Honours Chemistry,General Sciences
3135,"Quantitative Economics, Mathematics",Mathematics and Finance
3136,Ml And Data Science,Information and Data Management
3137,Civil Engineering And Urban Planning,Engineering 
3138,"Mathematics, Economics, Minor In Physics",Mathematics and Finance
3139,"Economics, Finance",Mathematics and Finance
3140,"Philosophy, Political Science",Philosophy and Cognitive Studies
